Liiklusregistris 2017 aastal esmaselt registreeritud veesõidukid.;;;;;;;;;;
;;;;;;;;;;
Eestis esm reg kp;Liik;Tüüp;Kategooria;Mark;Mudel;Ehitusaasta;Kere materjal;Pikkus;Varasem kasutus;Arv
10.01.2017;Väikelaev;Mootorpaat;C;SILVER;FOX;2004;Alumiinium;4,85;;1
11.01.2017;Väikelaev;Mootorpaat;C;DULKAN;D-420 DZ;2016;Sünt. kangas;4,2;Uus sõiduk;1
12.01.2017;Väikelaev;Mootorpaat;D;TERHI;415 R;1989;Plastik;4,15;;1
13.01.2017;Väikelaev;Sõudepaat;D;AKVEREX;TRELO;2016;Plastik;3,35;Uus sõiduk;1
14.01.2017;Väikelaev;Mootorpaat;D;NORD;460D;2016;Plastik;4,6;Uus sõiduk;1
16.01.2017;Väikelaev;Mootorpaat;C;DULKAN;D-400;2016;Sünt. kangas;4;Uus sõiduk;1
17.01.2017;Alla 12m laev;Kalapaat;C;ROBUST;16;2016;Plastik;5,1;Uus sõiduk;1
17.01.2017;Väikelaev;Mootorpaat;D;PERLA;402;2016;Plastik;4;Uus sõiduk;1
17.01.2017;Väikelaev;Mootorpaat;D;TERHI;400;2013;Plastik;4,01;;1
17.01.2017;Väikelaev;Mootorpaat;D;SORSA;-;1974;Plastik;4,4;;1
17.01.2017;Väikelaev;Mootorpaat;D;SKIPP;440;2016;Plastik;4,4;Uus sõiduk;1
19.01.2017;Väikelaev;Mootorpaat;C;TERHI;NORDIC 6020;1999;Plastik;4,62;;1
19.01.2017;Väikelaev;Mootorpaat;C;BUSTER;XL PRO SC;2016;Alumiinium;5,94;Uus sõiduk;1
20.01.2017;Väikelaev;Mootorpaat;D;SEILSAT;C440A;2017;Plastik;4,4;Uus sõiduk;1
20.01.2017;Väikelaev;Mootorpaat;C;VIKSUND;25 SABB CRUISER;1986;Sünt. kangas;7,6;;1
23.01.2017;Väikelaev;Mootorpaat;D;VELES;360;2016;Sünt. kangas;3,6;Uus sõiduk;1
23.01.2017;Väikelaev;Purjejaht;A;VISIERS;41;1984;Plastik;12,47;;1
24.01.2017;Väikelaev;Purjejaht;B;ALBIN;VEGA;1976;Plastik;8,25;;1
25.01.2017;Väikelaev;Mootorpaat;C;DULKAN;D325;2017;Sünt. kangas;3,25;Uus sõiduk;1
27.01.2017;Väikelaev;Mootorpaat;C;FASTER;635;2017;Alumiinium;6,35;Uus sõiduk;1
27.01.2017;Väikelaev;Purjejaht;B;TUNAKRYSSARE;-;1981;Teras;10,5;;1
28.01.2017;Väikelaev;Mootorpaat;D;BUSTER;SUN R;1985;Alumiinium;3,9;;1
30.01.2017;Väikelaev;Mootorpaat;C;BENETEAU;BARRACUDA 8;2016;Plastik;6,98;Uus sõiduk;1
31.01.2017;Alla 12m laev;Tööpaat ;D;ZODIAC;CADET 270 AERO;2016;Plastik;2,7;Uus sõiduk;4
31.01.2017;Väikelaev;Mootorpaat;C;DULKAN;D345;2016;Sünt. kangas;3,45;Uus sõiduk;1
31.01.2017;Väikelaev;Mootorpaat;C;PARKER;660 WEEKEND;2016;Plastik;6,45;Uus sõiduk;1
01.02.2017;Väikelaev;Mootorpaat;C;FLIPPER;450 HT;1972;Plastik;4,5;;1
02.02.2017;Väikelaev;Mootorpaat;C;VIIKING;500;2015;Plastik;4,86;Uus sõiduk;1
02.02.2017;Väikelaev;Mootorpaat;C;BUSTER;L;2015;Alumiinium;5,19;Uus sõiduk;1
08.02.2017;Alla 12m laev;Kalapaat;D;NORDLINE;51 ;2016;Plastik;5,15;Uus sõiduk;1
09.02.2017;Väikelaev;Mootorpaat;C;NORDKAPP;AVANT 605 RANGER;2016;Alumiinium;6,06;Uus sõiduk;1
